title,url,processed_content,cluster
Politic News: World Leaders’ Summit at COP 28 Kicks Off with Multiple High-level Events,https://sdg.iisd.org/news/world-leaders-summit-at-cop-28-kicks-off-with-multiple-high-level-events/,politic news world leaders ’ summit cop 28 kicks multiple highlevel events,2
Politic News: The World Leaders Summit at COP 26,https://unfccc.int/cop26/world-leaders-summit,politic news world leaders summit cop 26,2
Technology News: OpenAI CEO Sam Altman seeks as much as $7 trillion for new AI chip project: Report,https://www.cnbc.com/2024/02/09/openai-ceo-sam-altman-reportedly-seeking-trillions-of-dollars-for-ai-chip-project.html,technology news openai ceo sam altman seeks much 7 trillion new ai chip project report,1
Business News: Arm’s post-earnings pop leaves stock trading at over 100% premium to Nvidia,https://www.cnbc.com/2024/02/08/arms-post-earnings-pop-leaves-stock-trading-at-premium-to-nvidia-amd.html,business news arm ’ postearnings pop leaves stock trading 100 premium nvidia,0
Technology News: Microsoft denies it went back on its word on Activision job cuts,https://www.bbc.com/news/technology-68239644,technology news microsoft denies went back word activision job cuts,1
"Business News: Source oil and gas locally, urges Equinor energy boss",https://www.bbc.com/news/business-68225830,business news source oil gas locally urges equinor energy boss,0
Business News: Judge approves compensation for Neil Woodford investors,https://www.bbc.com/news/business-68253309,business news judge approves compensation neil woodford investors,0
Politic News: Exclusive: Biden officials confront limits of federal response in exercise preparing for 2024 election threats,https://edition.cnn.com/2024/02/09/politics/biden-officials-exercise-2024-election-chaos/index.html,politic news exclusive biden officials confront limits federal response exercise preparing 2024 election threats,2
Politic News: Confusion reigns in Pakistan’s rigged election,https://www.economist.com/asia/2024/02/09/confusion-reigns-in-pakistans-rigged-election,politic news confusion reigns pakistan ’ rigged election,2
"Business News: American Firms Invested $1 Billion in Chinese Chips, Lawmakers Find",https://www.nytimes.com/2024/02/08/business/economy/china-chips-house-select-committee.html,business news american firms invested 1 billion chinese chips lawmakers find,0
Business News: Yellen Says Stable Financial System Is Key to U.S. Economic Strength,https://www.nytimes.com/2024/02/05/business/yellen-house-testimony.html,business news yellen says stable financial system key us economic strength,0
